randomInt;age;gender;district;modeOfTransportation;distance;G03Q13amountOfPeople;income;frequency;days[1];days[2];days[3];days[4];days[5];days[6];days[7];time[1];time[2];time[3];time[4];time[5];moneySpent;orderingItems;deliveringItems;willingPayDelivery;findProducts;usingDiscounts;preferCash;preferCashless;isRelaxing;satisGeneralStore;satisMusic;satisQualityProducts;satisGeneralAssortment;satisVeganProducts;satisOrganicProducts;satisGlutenfreeProducts;satisAnimalProducts;ideasExtendedBusiness;ideasHelpCarry;ideasCustomerCouncil;ideasFreeWifi;ideasTouchDisplay;ideasSelfCheckout;ideasBikeParking;ideasUndergroundParking
4;;Male;Godham;Own Car;1-2km;3;120000;Twice;No;No;No;Yes;Yes;No;No;No;No;Yes;Yes;No;Between 75 and 100 USD;… ordering online.;… get them directly delivered to my address.;15 to 20 USD;Neutral / Undecided;Rather disagree;Strongly disagree;Rather agree;Strongly agree;4;4;4;3;2;8;8;7;2;4;3;4;;4;;
4;;;;;;;;;No;No;No;No;No;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;
3;20-25;Female;Springtown;Own Car;>7km;2;15;Three times;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Between 50 and 75;;…get them myself in and from the store.;;;;;;;;;7;7;7;7;7;;7;7;7;7;;7;7;7
4;;;;;;;1337;;No;No;No;No;No;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;
3;15-20;Male;Piltunder;Own Car;1-2km;4;250000;Twice;No;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather agree;Rather disagree;Strongly agree;Rather disagree;8;9;7;;8;8;8;1;9;2;1;10;10;10;8;
3;20-25;Prefer not to say;Metrapalis;Walking;500 meters to 1km;1;500;Twice;No;Yes;No;No;No;Yes;No;Yes;No;No;Yes;Yes;Less than 25 USD;…selecting them myself in the store.;;;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Rather disagree;7;1;9;10;6;7;10;10;9;1;1;9;9;10;1;1
2;60-65;Male;Godham;Own Car;1-2km;2;5000;Once;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather disagree;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;Strongly disagree;8;6;8;;5;6;;7;5;2;2;6;3;9;9;9
1;40-45;Female;Godham;Bicycle;500 meters to 1km;1;;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Rather agree;Strongly disagree;Neutral / Undecided;Neutral / Undecided;Rather disagree;8;;9;7;;7;;7;8;3;6;10;8;10;9;1
1;25-30;Male;Metrapalis;Walking;500 meters to 1km;1;600;Four times;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather disagree;Strongly disagree;Strongly agree;Neutral / Undecided;8;3;7;7;6;6;6;8;10;2;3;4;3;10;10;2
3;20-25;Female;Springtown;Bicycle;500 meters to 1km;1;1200;Four times;Yes;No;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Strongly agree;Rather disagree;Strongly agree;Rather disagree;8;4;7;9;8;6;3;7;10;1;2;5;2;10;10;3
3;25-30;Prefer not to say;Springtown;Bicycle;3-5km;2;10000;Three times;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;Yes;Between 25 and 50 USD;… ordering online.;…get them myself in and from the store.;;Rather disagree;Rather agree;Strongly disagree;Strongly agree;Rather disagree;3;1;6;1;4;4;4;6;8;1;1;8;7;7;9;4
1;30-35;Male;Duckborg;Bicycle;1-2km;1;1000;Twice;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;Between 25 and 50 USD;… ordering online.;…get them myself in and from the store.;;;;;;;;;;;;;;;;;;;;;;
3;20-25;Female;Piltunder;Walking;3-5km;2;3000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Strongly disagree;Strongly disagree;Strongly agree;Rather disagree;8;6;8;7;6;6;;9;10;3;1;10;1;10;10;5
4;35-40;Male;Godham;Walking;500 meters to 1km;2;;Three times;Yes;No;No;No;Yes;Yes;No;Yes;No;No;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather disagree;Rather agree;Neutral / Undecided;Rather disagree;3;4;7;8;2;7;3;7;4;1;4;2;3;3;7;7
2;55-60;Male;Springtown;Own Car;5-7km;4;75000;Twice;No;Yes;No;No;Yes;No;No;Yes;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;… get them directly delivered to my address.;I would not pay for that;Rather agree;Strongly agree;Rather disagree;Rather agree;Strongly disagree;9;5;8;9;;8;;9;5;1;1;1;1;8;6;8
4;55-60;Male;Duckborg;Own Car;5-7km;5 or more;4000;Twice;Yes;No;No;No;No;Yes;No;Yes;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Strongly agree;Rather agree;Rather disagree;Strongly agree;Rather agree;8;;8;8;8;;;8;10;7;9;;;9;;9
3;20-25;Male;Metrapalis;Walking;Less than few hundred meters;1;3000;Twice;No;Yes;No;No;Yes;No;No;Yes;Yes;No;No;Yes;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather disagree;Strongly agree;Neutral / Undecided;Rather disagree;5;5;7;6;;;;8;10;8;1;4;2;3;8;8
3;20-25;Male;Godham;Bicycle;3-5km;1;500;Four times;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;Less than 25 USD;… ordering online.;… get them delivered to the store for me to pick-up.;Less than 10 USD;Strongly agree;Rather agree;Rather disagree;Strongly agree;Rather agree;9;8;10;9;8;9;10;8;8;8;9;9;10;9;8;9
4;65-70;Female;Piltunder;Bicycle;1-2km;1;120000;Twice;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Rather agree;Strongly agree;Strongly agree;Rather disagree;8;6;8;9;7;7;;;9;1;1;1;8;8;10;
2;35-40;Male;Springtown;Own Car;1-2km;4;150000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;More than 125 USD;… ordering online.;… get them directly delivered to my address.;10-15 USD;Rather agree;Rather disagree;Rather agree;Rather disagree;Strongly disagree;8;7;8;8;;6;;9;10;3;1;3;2;6;9;10
4;60-65;Prefer not to say;Duckborg;Taxi;1-2km;5 or more;55000;Once;No;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Rather agree;Rather agree;Strongly disagree;Strongly agree;Rather disagree;8;6;7;9;5;3;7;9;9;3;7;5;7;10;10;6
4;60-65;Male;Godham;Rented car (“car sharing”);3-5km;2;80000;Once;No;No;No;No;Yes;Yes;No;No;Yes;No;No;Yes;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly agree;Strongly disagree;Strongly agree;Rather disagree;9;9;9;8;;;;8;4;2;5;9;9;10;9;7
4;65-70;Male;Godham;Public transportation;500 meters to 1km;3;30000;Four times;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes;No;Less than 25 USD;… ordering online.;… get them delivered to the store for me to pick-up.;;Neutral / Undecided;Rather agree;Strongly disagree;Strongly agree;Neutral / Undecided;8;2;7;5;5;7;1;3;8;6;1;10;10;10;3;3
1;;Prefer not to say;Duckborg;Bicycle;500 meters to 1km;1;;Three times;No;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Between 25 and 50 USD;…selecting them myself in the store.;;I would not pay for that;;;;;;;;;;;;;;;;;;;;;
1;40-45;Male;;Walking;3-5km;1;;Once;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Neutral / Undecided;Strongly agree;Rather disagree;Neutral / Undecided;8;;8;8;;8;;8;;5;;;;10;10;
3;25-30;Male;Duckborg;Public transportation;>7km;3;36000;Twice;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Strongly disagree;8;2;6;8;5;7;8;8;1;1;1;10;9;10;10;1
2;35-40;Male;Springtown;Walking;500 meters to 1km;1;5000;Three times;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;6;6;;6;6;;;;;;;;;;;
3;25-30;Female;Springtown;Walking;500 meters to 1km;1;2280;Three times;No;Yes;No;No;Yes;Yes;No;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;… get them directly delivered to my address.;Less than 10 USD;Strongly agree;Rather agree;Strongly disagree;Strongly agree;Rather agree;7;6;7;7;8;8;2;7;10;1;1;1;1;10;10;1
4;>75;Female;;Taxi;Less than few hundred meters;5 or more;999999;Three times;Yes;No;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;5;5;5;5;5;5;5;5;;;;;;;;
3;30-35;Female;Piltunder;Public transportation;>7km;3;40000;Once;Yes;No;No;No;No;Yes;No;No;Yes;No;Yes;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Neutral / Undecided;Rather disagree;Rather disagree;Strongly agree;Neutral / Undecided;7;3;7;5;3;5;;5;10;1;1;6;1;10;;
3;35-40;Male;Springtown;Walking;500 meters to 1km;2;2500;Three times;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Neutral / Undecided;Rather disagree;Rather agree;Rather agree;8;7;9;8;7;9;5;7;7;2;2;2;3;5;8;5
1;45-50;Female;Springtown;Bicycle;Less than few hundred meters;5 or more;100000;More than four times;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Rather disagree;Neutral / Undecided;Neutral / Undecided;Strongly disagree;7;1;9;7;4;6;5;9;4;1;2;10;8;10;10;1
2;40-45;Male;Godham;Own Car;3-5km;5 or more;120000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;More than 125 USD;… ordering online.;… get them directly delivered to my address.;;Rather agree;Rather disagree;Strongly agree;Strongly agree;Strongly disagree;9;3;9;7;9;8;6;;1;8;1;6;1;7;3;9
4;40-45;Male;Godham;Walking;Less than few hundred meters;1;500;Once;No;No;No;No;No;Yes;No;No;Yes;No;No;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;Strongly disagree;5;5;5;5;5;5;5;5;10;8;1;1;10;10;10;10
4;60-65;Female;Godham;Own Car;1-2km;1;30000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;More than 125 USD;… ordering online.;… get them delivered to the store for me to pick-up.;;Strongly agree;Rather agree;Strongly disagree;Strongly agree;Strongly agree;10;10;10;10;10;10;10;10;10;10;1;10;10;10;10;10
3;25-30;Female;Springtown;Walking;1-2km;1;600;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Rather disagree;Strongly agree;Neutral / Undecided;7;5;6;7;5;5;5;7;10;2;3;9;5;10;10;2
2;40-45;Female;Piltunder;Own Car;1-2km;3;4000;Once;No;No;No;No;No;Yes;No;No;Yes;Yes;No;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Neutral / Undecided;Strongly disagree;Strongly agree;Rather agree;8;6;7;7;6;6;5;7;10;1;1;10;10;10;5;10
3;20-25;Female;Metrapalis;Bicycle;500 meters to 1km;1;;More than four times;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Between 25 and 50 USD;… ordering online.;… get them delivered to the store for me to pick-up.;;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Rather disagree;5;;6;9;3;4;;8;10;1;1;10;8;10;10;3
2;25-30;Male;Springtown;Walking;500 meters to 1km;2;200000;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Strongly disagree;Rather disagree;Rather agree;;9;7;9;8;6;6;7;8;10;9;8;8;6;7;8;9
4;65-70;Male;Metrapalis;Public transportation;1-2km;2;70000;Twice;Yes;No;Yes;No;No;Yes;No;No;Yes;Yes;No;No;Between 50 and 75;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Neutral / Undecided;Strongly disagree;Strongly agree;Rather disagree;9;7;9;6;4;4;6;8;3;8;2;4;4;3;2;2
2;35-40;Female;Springtown;Public transportation;1-2km;3;2000;Once;No;No;No;No;No;Yes;No;No;No;Yes;Yes;No;Less than 25 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Rather disagree;Strongly agree;Rather disagree;Rather disagree;6;7;9;;8;8;8;8;6;1;1;10;1;10;1;6
4;65-70;Male;Godham;Bicycle;1-2km;2;50000;Once;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Rather disagree;Rather disagree;Neutral / Undecided;Rather disagree;5;6;;7;6;5;6;5;4;5;6;5;6;7;6;7
2;35-40;Female;Metrapalis;Own Car;;3;33456;Once;No;No;No;No;Yes;No;No;Yes;No;No;Yes;Yes;Between 50 and 75;… ordering online.;… get them directly delivered to my address.;10-15 USD;Rather agree;Rather agree;;;Rather disagree;4;7;5;3;3;5;7;9;9;4;2;2;;6;4;6
